plz;ort;plz5_kba;plz5_kba_kraft3;Jahr
81479;München;9547;16;2018
81243;München;8877;13;2018
51067;Köln;11408;7;2018
80804;München;5303;15;2018
81929;München;7831;16;2018
80799;München;4380;9;2018
80337;München;5294;11;2018
50670;Köln;7342;9;2018
50939;Köln;7717;102;2018
80992;München;13355;91;2018
81677;München;6140;10;2018
50859;Köln;13775;19;2018
81475;München;6272;5;2018
81927;München;11045;18;2018
80997;München;11830;22;2018
80331;München;4213;24;2018
81737;München;12209;14;2018
51061;Köln;14197;15;2018
80798;München;4087;1;2018
81539;München;8589;9;2018
80689;München;10659;12;2018
80939;München;14579;26;2018
81373;München;9778;26;2018
50827;Köln;10485;4;2018
50769;Köln;16068;18;2018
50937;Köln;9566;6;2018
80336;München;4531;15;2018
51063;Köln;14148;10;2018
50823;Köln;9870;13;2018
50678;Köln;7131;9;2018
81379;München;14902;38;2018
50735;Köln;20118;15;2018
80636;München;10247;23;2018
81375;München;9747;9;2018
80797;München;6558;15;2018
50935;Köln;8403;13;2018
80993;München;7382;9;2018
80638;München;4756;13;2018
50825;Köln;11441;22;2018
50969;Köln;8384;4;2018
81673;München;9974;16;2018
81545;München;7418;17;2018
81549;München;10319;14;2018
51103;Köln;11247;11;2018
81735;München;9231;10;2018
51065;Köln;7233;3;2018
81241;München;10232;15;2018
50968;Köln;14649;22;2018
81739;München;12015;52;2018
80995;München;13032;41;2018
80802;München;5472;19;2018
81825;München;13842;22;2018
81827;München;13077;41;2018
80999;München;8683;15;2018
80801;München;3711;10;2018
51145;Köln;12914;9;2018
80634;München;6950;8;2018
80803;München;3906;7;2018
81476;München;7127;11;2018
81543;München;6690;9;2018
80639;München;8948;13;2018
50733;Köln;12016;4;2018
50767;Köln;9381;2;2018
81541;München;9877;14;2018
80539;München;4714;11;2018
81675;München;6161;10;2018
50739;Köln;12182;10;2018
80335;München;9902;404;2018
81245;München;13100;25;2018
81679;München;4915;12;2018
80933;München;5893;0;2018
50674;Köln;5753;3;2018
80637;München;8223;13;2018
50737;Köln;8158;2;2018
50829;Köln;10859;15;2018
81547;München;6769;6;2018
50858;Köln;16174;27;2018
80538;München;55668;159;2018
80469;München;8471;23;2018
50765;Köln;13356;6;2018
81829;München;11847;18;2018
51149;Köln;14309;16;2018
80807;München;18474;36;2018
81671;München;7277;28;2018
81669;München;6384;20;2018
51107;Köln;13939;11;2018
50668;Köln;6960;10;2018
50676;Köln;5955;8;2018
80935;München;7123;16;2018
50931;Köln;6198;6;2018
81377;München;10703;20;2018
50996;Köln;9909;24;2018
51109;Köln;13249;11;2018
80687;München;10876;16;2018
80333;München;9833;77;2018
50933;Köln;11783;14;2018
51105;Köln;10829;5;2018
50999;Köln;11999;13;2018
80937;München;6924;6;2018
80805;München;6887;9;2018
81247;München;9068;26;2018
51143;Köln;11366;6;2018
81249;München;9796;23;2018
81248;München;;;2018
80809;München;34633;448;2018
50677;Köln;4783;2;2018
51147;Köln;13552;12;2018
80339;München;11004;49;2018
51069;Köln;15309;13;2018
50679;Köln;8721;18;2018
80796;München;5780;9;2018
81477;München;7816;8;2018
50667;Köln;3181;10;2018
81925;München;16516;25;2018
81369;München;9912;12;2018
81371;München;8208;9;2018
50672;Köln;5404;40;2018
80686;München;14321;22;2018
50997;Köln;11429;50;2018
81667;München;5969;13;2018
