plz;ort;plz5_kba;plz5_kba_kraft3;Jahr
50667;Köln;3134;176;2019
50668;Köln;6971;247;2019
50670;Köln;7477;159;2019
50672;Köln;5553;240;2019
50674;Köln;5745;158;2019
50676;Köln;5839;126;2019
50677;Köln;4775;94;2019
50678;Köln;6950;144;2019
50679;Köln;10532;608;2019
50733;Köln;12034;154;2019
50735;Köln;20170;541;2019
50737;Köln;8284;99;2019
50739;Köln;12461;159;2019
50765;Köln;13563;187;2019
50767;Köln;9430;103;2019
50769;Köln;16148;197;2019
50823;Köln;9981;230;2019
50825;Köln;11275;309;2019
50827;Köln;10606;152;2019
50829;Köln;11285;208;2019
50858;Köln;16350;1147;2019
50859;Köln;13898;264;2019
50931;Köln;6189;127;2019
50933;Köln;11774;247;2019
50935;Köln;8482;187;2019
50937;Köln;9561;141;2019
50939;Köln;7682;385;2019
50968;Köln;15008;372;2019
50969;Köln;8461;149;2019
50996;Köln;10114;230;2019
50997;Köln;11696;188;2019
50999;Köln;12310;209;2019
51061;Köln;14331;245;2019
51063;Köln;15969;443;2019
51065;Köln;7228;80;2019
51067;Köln;11439;187;2019
51069;Köln;15510;272;2019
51103;Köln;11433;129;2019
51105;Köln;10884;130;2019
51107;Köln;14223;221;2019
51109;Köln;13448;243;2019
51143;Köln;11473;166;2019
51145;Köln;13134;217;2019
51147;Köln;13646;178;2019
51149;Köln;14360;263;2019
80331;München;4232;437;2019
80333;München;9700;421;2019
80335;München;9746;937;2019
80336;München;4640;169;2019
80337;München;5264;131;2019
80339;München;11718;290;2019
80469;München;8348;191;2019
80538;München;59037;5352;2019
80539;München;5487;269;2019
80634;München;7022;111;2019
80636;München;10434;381;2019
80637;München;8217;164;2019
80638;München;4765;112;2019
80639;München;8908;182;2019
80686;München;14627;381;2019
80687;München;10643;345;2019
80689;München;10689;151;2019
80796;München;5699;95;2019
80797;München;6607;163;2019
80798;München;4087;74;2019
80799;München;4307;81;2019
80801;München;3656;77;2019
80802;München;5485;318;2019
80803;München;3910;72;2019
80804;München;5355;112;2019
80805;München;6909;151;2019
80807;München;19172;697;2019
80809;München;37476;3492;2019
80933;München;5939;57;2019
80935;München;7134;188;2019
80937;München;7027;82;2019
80939;München;16192;448;2019
80992;München;13133;409;2019
80993;München;7399;124;2019
80995;München;13168;466;2019
80997;München;12037;225;2019
80999;München;8669;198;2019
81241;München;10214;171;2019
81243;München;9017;171;2019
81245;München;13188;241;2019
81247;München;9133;153;2019
81248;München;6;0;2019
81249;München;10125;210;2019
81369;München;10010;203;2019
81371;München;8173;139;2019
81373;München;9670;178;2019
81375;München;9858;168;2019
81377;München;10790;218;2019
81379;München;18111;754;2019
81475;München;6285;73;2019
81476;München;7159;125;2019
81477;München;7656;151;2019
81479;München;9492;175;2019
81539;München;8657;128;2019
81541;München;9888;203;2019
81543;München;6678;101;2019
81545;München;7447;161;2019
81547;München;6670;163;2019
81549;München;10283;184;2019
81667;München;5962;121;2019
81669;München;6301;199;2019
81671;München;7420;244;2019
81673;München;11715;357;2019
81675;München;6127;185;2019
81677;München;6289;165;2019
81679;München;4949;137;2019
81735;München;9185;139;2019
81737;München;12430;270;2019
81739;München;12159;313;2019
81825;München;13886;272;2019
81827;München;13149;267;2019
81829;München;12364;411;2019
81925;München;14063;299;2019
81927;München;11149;192;2019
81929;München;7835;132;2019
